provider,provider_hotel_id,name,address,city,country,country_code,latitude,longitude,stars
expedia,4410857,Rodeway Inn Union,1235 S Duncan Byp,Union,United States,US,34.69988,-81.617599,2
tripcom,3067533,Rodeway Inn,1235 Duncan Bypass,Юнион,United States,US,34.69987,-81.617594,2
paximum,429428,Palmetto Inn Union,1235 Duncan Bypass Union SC 29379,Union,USA,US,34.69926,-81.6172,2
webbeds,1378438,Rodeway Inn Union,1235 S Duncan Bypass,UNION - SC,UNITED STATES OF AMERICA,US,34.699169,-81.618019,2
dida,63247,Rodeway Inn Union,1235 S Duncan Byp,Union,Usa,US,34.69988,-81.617599,2
expedia,123662997,B&B at Bloem,16 Jacobs St,Bloemfontein,South Africa,ZA,-29.118683,26.173264,3
paximum,456826,B&B at Bloem,16 Jacobs Street Universitas Bloemfontein 9301,Bloemfontein,South Africa,ZA,-29.11865,26.17314,4
expedia,4239523,Hotel Taisetsu ONSEN＆CANYON RESORT,"Sounkyo-onsen, Kamikawa-cho",Kamikawa,Japan,JP,43.725526,142.95078,3.5
paximum,385097,Taisetsu,,Kamikawa,Japan,JP,,,3
webbeds,241486,Hotel Taisetsu ONSEN&CANYON RESORT,Aza-Sounkyo Kamikawa-cho Kamikawa-gun,KAMIKAWA - HOKKAIDO PREFECTURE,JAPAN,JP,43.725742,142.950989,4
dida,181363,Hotel Taisetsu ONSEN＆CANYON RESORT,"Sounkyo-onsen, Kamikawa-cho",Asahikawa (and vicinity),Japan,JP,43.725526,142.95078,3.5
expedia,9624194,Rotary Lodge Port Macquarie,"2 Wrights Road, Port Macquarie Base Hospital",Port Macquarie,Australia,AU,-31.453085,152.8793,3
webbeds,2893875,Rotary Lodge Port Macquarie,2 Wrights Road. . 2444. Port Macquarie. NW. Australia,PORT MACQUARIE,AUSTRALIA,AU,-31.453091,152.879303,3
dida,160364,Rotary Lodge Port Macquarie,"2 Wrights Road, Port Macquarie Base Hospital",Port Macquarie (and vicinity),Australia,AU,-31.453085,152.8793,3
expedia,2911260,Comfort Inn Hebron-Lowell Area,"3550 E 181st Ave, Exit 240 I 65 Lowell Exit",Hebron,United States,US,41.291637,-87.2922,2.5
tripcom,3084732,Comfort Inn Hebron-Lowell Area,"3550 E 181st Ave, Hebron",Игл Крик Тауншип,United States,US,41.291974,-87.292555,2
paximum,429097,Comfort Inn Hebron,,Hebron,USA,US,,,
webbeds,1997875,Comfort Inn Hebron-Lowell Area,3550 E 181St Ave Exit 240 I 65 Lowell Exit,HEBRON - IN,UNITED STATES OF AMERICA,US,41.291965,-87.292648,3
dida,155607,Comfort Inn Hebron-Lowell Area,"3550 E 181st Ave, Exit 240 I 65 Lowell Exit",Hebron,Usa,US,41.291637,-87.2922,2.5
expedia,22110846,Djidjack,"BP 02, Campement Hotel Djidjack",Fatick,Senegal,SN,14.024384,-16.767823,2.5
expedia,96441306,Borgo Giusto Tuscany,località soccolognora 6,Borgo a Mozzano,Italy,IT,43.948163,10.467999,
paximum,366991,Borgo Giusto,"Loc. Partigliano 55023 Borgo a Mozzano Lucca, Toskana",Borgo a Mozzano,Italy,IT,43.94802,10.46786,3
webbeds,1957045,Borgo Giusto Tuscany,Loc. Partigliano (LU),LUCCA,ITALY,IT,43.947952,10.467976,3
dida,1030590,Borgo Giusto,"Via Soccolognora, 6 BORGO A MOZZANO ESO 55023 Italy, Borgo a Mozzano, Tuscany, Italy",Borgo a Mozzano,Italy,IT,43.947874,10.467934,
expedia,83744,The Commodore Hotel,"Portswood Road, Portswood Square, V and A Waterfront",Cape Town,South Africa,ZA,-33.906201,18.41702,4
tripcom,741235,The Commodore Hotel,"Portswood Rd, Victoria & Alfred Waterfront",Кейптаун,South Africa,ZA,-33.906211,18.417072,4
paximum,455314,The Commodore,Portwood Road Portswood Square V & A Waterfront Cape Town,Cape Town,South Africa,ZA,-33.90619,18.417,4
webbeds,915495,The Commodore Hotel,Portswood Road,CAPE TOWN CBD,SOUTH AFRICA,ZA,-33.906067,18.416887,4
dida,57938,The Commodore Hotel,"Portswood Road, Portswood Square, V and A Waterfront",Cape Town (and vicinity),South Africa,ZA,-33.906201,18.41702,4
expedia,32688900,Hotel Edelweiss,"Carretera de Baqueira, 13, Arties",Naut Aran,Spain,ES,42.701488,0.873096,2
paximum,240593,Edelweiss Arties,Ctra. de Baqueira s/n 25599 Arties Val d´Aran,Arties,Spain,ES,42.70145,0.873032,2
expedia,12957342,Yundeng Group,"No. 136, Disan Farm",Fanlu,Taiwan,TW,23.465788,120.538966,4.5
webbeds,2166115,Yundeng Landscape Hotel,"No. 136 Fanlu Township, Chiayi County",CHIAYI,TAIWAN,TW,23.465788,120.538963,5
dida,204697,Yundeng Group,"No. 136, Disan Farm",Chiayi (and vicinity),Taiwan,TW,23.465788,120.538966,4.5
expedia,1779789,The Churchill Hotel,65 Bootham,York,Britain (UK),GB,53.965494,-1.090125,4
tripcom,2506220,The Churchill Hotel,65 Bootham,Йорк,United Kingdom,GB,53.965757,-1.089805,4
paximum,341062,The Churchill,65 Bootham York YO30 7DQ,York,United Kingdom,GB,53.96566,-1.089723,3
webbeds,1103338,The Churchill Hotel,65 Bootham ;,YORK,UNITED KINGDOM,GB,53.965458,-1.089845,4
dida,38467,The Churchill Hotel,65 Bootham,York,Great Britain,GB,53.965494,-1.090125,4
expedia,2305694,MUR Hotel Neptuno Gran Canaria - Adults Only,"Av. 8 de Marzo, 29, 35100",San Bartolome de Tirajana,Spain,ES,27.759514,-15.576327,4
tripcom,3326823,Mur Neptuno Gran Canaria - Adults Only,"Av. 8 de Marzo, 29",Плайя-дель-Инглес,Spain,ES,27.759513,-15.576326,4
paximum,226423,Neptuno,Avenida Alféceres Provisionales 29 35100 Playa del Inglés Gran Canaria,Playa del Ingles,Spain,ES,27.75944,-15.57635,4
webbeds,416785,MUR Hotel Neptuno,Avenida Alfereces Provisionales,PLAYA DEL INGLES,SPAIN,ES,27.75934,-15.57561,4
dida,28213,MUR Hotel Neptuno Gran Canaria - Adults Only,"Av. 8 de Marzo, 29, 35100",San Bartolome de Tirajana,Spain,ES,27.759514,-15.576327,4
expedia,9679840,Sanyo-so,270 Mamanoue,Izunokuni,Japan,JP,35.03977,138.93435,4
tripcom,4351134,Sanyo-so,Mamamoue 270,Идзунокуни,Japan,JP,35.039038,138.934288,5
webbeds,3741995,Sanyo-So,270 Mamanoue. . 410-2204. Izunokuni. . JP,IZUNOKUNI - SHIZUOKA PREFECTURE,JAPAN,JP,35.03933,138.934738,4
dida,2350122,Izu Nagaoka Onsen Sanyoso Prince Hotels & Resorts,"270 Mamanoue, Izunokuni-shi",Izunokuni,Japan,JP,35.03919982910156,138.93345642089844,4
expedia,905723,Magnolia Court Boutique Hotel Melbourne,101 Powlett Street,East Melbourne,Australia,AU,-37.813383,144.98562,3
paximum,129012,Magnolia Court Boutique,101 Powlett Street East Melbourne 3002 Victoria,Melbourne,Australia,AU,-37.81336,144.9854,3
expedia,860330,"Hampton Inn & Suites Port St. Lucie, West",155 SW Peacock Blvd,Port Saint Lucie,United States,US,27.309583,-80.407944,2.5
tripcom,2254993,Hampton Inn & Suites Port St. Lucie-West,155 SW Peacock Blvd,Порт-Сент-Люси,United States,US,27.309605,-80.40794,2
paximum,399563,Hampton Inn & Suites Port St. Lucie West,155 S.W. Peacock Boulevard Port Saint Lucie Florida 34986,Port St. Lucie,USA,US,27.30959,-80.4077,2
webbeds,168426,Hampton Inn And Suites Port St. Lucie West,155 S.W. Peacock Boulevard,PORT SAINT LUCIE - FL,UNITED STATES OF AMERICA,US,27.309502,-80.407501,3
dida,55509,"Hampton Inn & Suites Port St. Lucie, West",155 SW Peacock Blvd,Vero Beach (and vicinity),Usa,US,27.309583,-80.407944,2.5
expedia,15451738,Guesthouse OC,"Funatsu 3713-13, Minamitsurugun",Fujikawaguchiko,Japan,JP,35.499484,138.769244,2.5
webbeds,3697745,Guesthouse Orange Cabin,Funatsu 3713-13,Fujikawaguchiko,JAPAN,JP,35.499401,138.769257,3
dida,227362,Guesthouse OC,"Funatsu 3713-13, Minamitsurugun",Kofu (and vicinity),Japan,JP,35.499484,138.769244,2.5
expedia,5244355,"Bluegreen Vacations Big Bear Village, an Ascend Collection Resort",40671 Village Dr,Big Bear Lake,United States,US,34.23958,-116.915582,4
paximum,429245,The Club At Big Bear Village,,Big Bear Lake,USA,US,34.24008,-116.915,3
webbeds,1386318,"Bluegreen Vacations Big Bear Village, an Ascend Collection Resort",40671 Village Drive,BIG BEAR LAKE - CA,UNITED STATES OF AMERICA,US,34.239208,-116.915375,4
dida,39566,"Bluegreen Vacations Big Bear Village, an Ascend Collection Resort",40671 Village Dr,Big Bear Lake (and vicinity),Usa,US,34.23958,-116.915582,4
expedia,7725289,Dulcis Inn Pantheon,Via Della Scrofa 41,Rome,Italy,IT,41.901461,12.47497,
tripcom,3723539,Dulcis in Pantheon,"Via della Scrofa, 41",Рим,Italy,IT,41.901379,12.475028,3
webbeds,2933245,DULCIS INN PANTHEON,Via della Scrofa 41,ROME,ITALY,IT,41.901379,12.475028,2
dida,151158,Dulcis Inn Pantheon,Via Della Scrofa 41,Rome (and vicinity),Italy,IT,41.901461,12.47497,4
expedia,34200262,Quinta Camarena,"Cercal do Alentejo, Vale de Santa Maria",Santiago do Cacém,Portugal,PT,37.799546,-8.673552,3
tripcom,108624515,Tsukino Hotel,1 Chome-10-20 Saiwaicho,Саката,Japan,JP,38.920874,139.845407,3
paximum,382917,Tokyu Inn - geschlossen,,Sakata,Japan,JP,38.92075,139.8444,
webbeds,5893545,Tsukino Hotel,"1-10-20 Saiwaicho, Sakata",SAKATA - YAMAGATA,JAPAN,JP,38.920876,139.845413,3
dida,2214881,Tsukino Hotel,1 Chome-10-20 Saiwaicho,Tsuruoka (and vicinity),Japan,JP,38.920875549316406,139.8454132080078,3
expedia,9641588,Lavanta Hotel,"Istiklal Cad. Süslü Saksi Sokak No: 17, Beyoglu",Istanbul,Turkey,TR,41.036168,28.980401,
webbeds,2191805,LAVANTA HOTEL,"Istiklal Caddesi Sehit Muhtar Mah. Suslu Saksi Sokak No:17 Taksim Beyoglu, Beyoglu, ?stanbul, Turkey",ISTANBUL,TURKEY,TR,41.036114,28.980412,3
dida,151829,Lavanta Hotel,"Istiklal Cad. Süslü Saksi Sokak No: 17, Beyoglu",Istanbul (and vicinity),Turkey,TR,41.036168,28.980401,2.5
expedia,565532,ibis Styles Arles Palais des Congrès,"1 Avenue de la Premiere, Division Francaise Libre",Arles,France,FR,43.671096,4.618779,3
webbeds,182716,Ibis Styles Arles Palais Des Congres,Avenue de la Premiere Division Française Libre,ARLES,Франция,FR,43.671391,4.61844,3
dida,69713,ibis Styles Arles Palais des Congrès,"1 Avenue de la Premiere, Division Francaise Libre",Arles (and vicinity),France,FR,43.671096,4.618779,3
expedia,11840406,Corrie Chalet Pantai Cenang Langkawi,Pantai Tengah,Langkawi,Malaysia,MY,6.284923,99.72871,2
tripcom,699997,Corrie Chalet Pantai Cenang Langkawi,Jalan Pantai Tengah,Лангкави,Malaysia,MY,6.280768,99.73005,3
webbeds,3121305,Corrie Chalet Langkawi,Pantai Tengah Mukim Kedawang,LANGKAWI,MALAYSIA,MY,6.280768,99.730049,2
dida,191778,Corrie Chalet Pantai Cenang Langkawi,Pantai Tengah,Langkawi,Malaysia,MY,6.284923,99.72871,2
expedia,8799419,Andong Park Hotel,"707, Gyeongdong-ro",Andong,Korea (South),KR,36.564017,128.735061,3
tripcom,3722352,Goodstay Andong Park Hotel,707 Gyeongdong-ro,Андон,South Korea,KR,36.563873,128.735131,2
webbeds,1704498,Andong Park Hotel,"707, Gyeongdong-ro ;",ANDONG,SOUTH KOREA,KR,36.56358,128.735474,3
dida,459037,Andong Park Hotel,"707, Gyeongdong-ro",Andong,South Korea,KR,36.564017,128.735061,3
expedia,17233731,Payidar Otel,"Yüzevler Mahallesi Hikmet Akinci, Pasa Sokak No. 2, Yaliboyu",Amasya,Turkey,TR,40.651076,35.829397,
webbeds,5137495,Beyoglu Hotel,Yüzevler Mahallesi Hikmet Akinci,AMASYA,TURKEY,TR,40.651009,35.829533,3
dida,257215,Payidar Otel,"Yüzevler Mahallesi Hikmet Akinci, Pasa Sokak No. 2, Yaliboyu",Amasya,Turkey,TR,40.651076,35.829397,
expedia,6226767,Hilton Garden Inn Lincoln Downtown/Haymarket,801 R Street,Lincoln,United States,US,40.816583,-96.709643,3
tripcom,2651872,Hilton Garden Inn Lincoln Downtown/Haymarket,801 R St,Линкольн,United States,US,40.816469,-96.709347,3
paximum,433914,Hilton Garden Inn Lincoln Downtown / Haymarket,,Lincoln,USA,US,40.81689,-96.70981,
webbeds,1396148,Hilton Garden Inn Lincoln Downtown/Haymarket,801 R Street ;,LINCOLN - NE,UNITED STATES OF AMERICA,US,40.816566,-96.709625,3
dida,74331,Hilton Garden Inn Lincoln Downtown/Haymarket,801 R Street,Lincoln (and vicinity),Usa,US,40.816583,-96.709643,3
expedia,20942381,Hôtel Aquatel,"Rue du Vélodrome, 15",Dinant,Belgium,BE,50.23659,4.90573,2
paximum,131797,Aquatel,Rue du Vélodrome 15 5500 Dinant,Dinant,Belgium,BE,50.23732,4.906311,1
dida,926475,Hôtel Aquatel,"Rue du Vélodrome, 15",Dinant,Belgium,BE,50.23659,4.90573,2
expedia,2038503,Hotel Tropicana - Near Olas Altas Street,Amapas #214 Col.,Puerto Vallarta,Mexico,MX,20.598567,-105.238562,3
tripcom,9026653,Tropicana Hotel Puerto Vallarta,"214, Zona Romántica, PlayaLos Muertos",Пуэрто-Вальярта,Mexico,MX,20.598447,-105.238482,3
paximum,284282,Tropicana,Calle Amapas 214 Col. Emiliano Zapata 48380 Puerto Vallarta Jalisco,Puerto Vallarta,Mexico,MX,20.59844,-105.2383,4
webbeds,552075,Hotel Tropicana Vallarta,Amapas 214 Playa Los Muertos,PUERTO VALLARTA,MEXICO,MX,20.598446,-105.23848,3
